index,2014,2015,2016,2017,avg,delta,Abs,text
SD,72.0,103.0,144.0,199.0,129.5,176.38888888888889,176.38888888888889,176.39%
AK,146.0,380.0,445.0,317.0,322.0,117.12328767123287,117.12328767123287,117.12%
MA,968.0,1338.0,1544.0,1761.0,1402.75,81.92148760330579,81.92148760330579,81.92%
MN,450.0,410.0,468.0,759.0,521.75,68.66666666666667,68.66666666666667,68.67%
IL,3095.0,3456.0,5055.0,5089.0,4173.75,64.42649434571891,64.42649434571891,64.43%
VT,170.0,117.0,94.0,71.0,113.0,-58.23529411764706,58.23529411764706,-58.24%
KS,381.0,461.0,572.0,578.0,498.0,51.70603674540683,51.70603674540683,51.71%
CO,556.0,788.0,812.0,809.0,741.25,45.50359712230216,45.50359712230216,45.50%
AR,572.0,538.0,720.0,820.0,662.5,43.35664335664335,43.35664335664335,43.36%
WY,64.0,198.0,127.0,91.0,120.0,42.1875,42.1875,42.19%
ID,115.0,177.0,155.0,163.0,152.5,41.73913043478261,41.73913043478261,41.74%
HI,48.0,75.0,79.0,68.0,67.5,41.666666666666664,41.666666666666664,41.67%
NM,320.0,395.0,399.0,448.0,390.5,40.0,40.0,40.00%
DC,838.0,538.0,497.0,1142.0,753.75,36.27684964200478,36.27684964200478,36.28%
MO,1272.0,1702.0,1552.0,1730.0,1564.0,36.0062893081761,36.0062893081761,36.01%
OK,642.0,840.0,898.0,866.0,811.5,34.890965732087224,34.890965732087224,34.89%
WA,656.0,925.0,768.0,881.0,807.5,34.298780487804876,34.298780487804876,34.30%
CT,583.0,737.0,803.0,780.0,725.75,33.79073756432247,33.79073756432247,33.79%
FL,3138.0,2702.0,4201.0,4156.0,3549.25,32.44104525175271,32.44104525175271,32.44%
MS,784.0,661.0,852.0,1029.0,831.5,31.25,31.25,31.25%
MT,128.0,140.0,162.0,167.0,149.25,30.46875,30.46875,30.47%
WI,1065.0,1117.0,859.0,1369.0,1102.5,28.544600938967136,28.544600938967136,28.54%
OR,398.0,686.0,552.0,511.0,536.75,28.391959798994975,28.391959798994975,28.39%
NE,347.0,374.0,381.0,439.0,385.25,26.512968299711815,26.512968299711815,26.51%
MD,1266.0,1284.0,1293.0,1579.0,1355.5,24.723538704581358,24.723538704581358,24.72%
IN,1203.0,1320.0,1511.0,1483.0,1379.25,23.275145469659186,23.275145469659186,23.28%
CA,3732.0,3234.0,3617.0,4588.0,3792.75,22.936763129689176,22.936763129689176,22.94%
DE,493.0,366.0,328.0,389.0,394.0,-21.095334685598377,21.095334685598377,-21.10%
ND,110.0,149.0,150.0,133.0,135.5,20.90909090909091,20.90909090909091,20.91%
TN,1590.0,1763.0,2014.0,1874.0,1810.25,17.861635220125788,17.861635220125788,17.86%
NV,376.0,491.0,536.0,437.0,460.0,16.22340425531915,16.22340425531915,16.22%
VA,1273.0,1326.0,1578.0,1473.0,1412.5,15.710919088766692,15.710919088766692,15.71%
OH,2368.0,2132.0,2442.0,2701.0,2410.75,14.0625,14.0625,14.06%
NJ,1521.0,1062.0,1224.0,1342.0,1287.25,-11.768573307034845,11.768573307034845,-11.77%
ME,183.0,231.0,232.0,203.0,212.25,10.92896174863388,10.92896174863388,10.93%
AL,1318.0,1034.0,1309.0,1461.0,1280.5,10.849772382397573,10.849772382397573,10.85%
NH,230.0,209.0,272.0,206.0,229.25,-10.434782608695652,10.434782608695652,-10.43%
TX,3133.0,3276.0,3606.0,2875.0,3222.5,-8.234918608362591,8.234918608362591,-8.23%
WV,362.0,342.0,399.0,390.0,373.25,7.734806629834254,7.734806629834254,7.73%
NY,1903.0,2903.0,2522.0,2031.0,2339.75,6.726221755123489,6.726221755123489,6.73%
MI,1447.0,1268.0,1316.0,1360.0,1347.75,-6.012439530062197,6.012439530062197,-6.01%
AZ,556.0,480.0,554.0,587.0,544.25,5.575539568345324,5.575539568345324,5.58%
KY,977.0,914.0,1021.0,1030.0,985.5,5.424769703172979,5.424769703172979,5.42%
LA,1906.0,1692.0,2070.0,1987.0,1913.75,4.249737670514166,4.249737670514166,4.25%
PA,2267.0,1789.0,2185.0,2172.0,2103.25,-4.190560211733569,4.190560211733569,-4.19%
SC,1660.0,1696.0,1490.0,1721.0,1641.75,3.674698795180723,3.674698795180723,3.67%
UT,217.0,324.0,250.0,224.0,253.75,3.225806451612903,3.225806451612903,3.23%
IA,569.0,587.0,659.0,586.0,600.25,2.9876977152899826,2.9876977152899826,2.99%
GA,2032.0,2767.0,1708.0,1994.0,2125.25,-1.8700787401574803,1.8700787401574803,-1.87%
NC,2165.0,1856.0,2101.0,2141.0,2065.75,-1.1085450346420322,1.1085450346420322,-1.11%
RI,189.0,226.0,237.0,191.0,210.75,1.0582010582010581,1.0582010582010581,1.06%
