state,2014,2015,2016,2017,2018
Alabama,10,8,8,8,8
Alaska,3,3,3,3,3
Arizona,5,5,5,5,5
Arkansas,11,11,11,11,11
California,82,84,86,88,91
Colorado,23,23,23,23,23
Connecticut,74,74,74,74,74
Delaware,34,34,35,35,35
Florida,20,20,20,20,20
Georgia,6,6,6,6,6
Hawaii,61,61,61,61,61
Idaho,5,6,2,2,2
Illinois,49,49,49,49,49
Indiana,9,9,9,9,9
Iowa,21,21,21,20,20
Kansas,8,4,4,4,4
Kentucky,7,7,7,7,7
Louisiana,9,9,9,9,9
Maine,10,8,8,8,8
Maryland,57,56,56,56,56
Massachusetts,84,84,84,84,84
Michigan,20,21,21,21,21
Minnesota,25,27,27,27,27
Mississippi,5,2,2,2,2
Missouri,8,8,7,2,2
Montana,3,3,3,3,3
Nebraska,19,19,19,19,19
Nevada,11,13,13,19,19
New Hampshire,5,5,5,4,4
New Jersey,60,60,60,60,60
New Mexico,10,10,10,10,10
New York,60,60,60,60,60
North Carolina,20,20,20,20,20
North Dakota,14,14,14,10,10
Ohio,14,15,15,15,15
Oklahoma,8,8,8,8,8
Oregon,24,33,33,33,35
Pennsylvania,32,32,32,32,32
Rhode Island,43,43,43,43,43
South Carolina,12,12,12,12,12
South Dakota,4,4,4,4,4
Tennessee,17,17,15,15,15
Texas,15,15,13,13,13
Utah,10,10,10,10,10
Vermont,3,3,3,3,3
Virginia,12,12,12,12,12
Washington,34,34,36,36,36
West Virginia,17,17,11,11,11
Wisconsin,18,17,17,17,17
Wyoming,6,6,6,6,6
