State,State Number,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population
Alabama,1.0,4799277.0,4817678.0,4830620.0,4841164.0,4860545.0
Alaska,2.0,720316.0,728300.0,733375.0,736855.0,741522.0
Arizona,4.0,6479703.0,6561516.0,6641928.0,6728577.0,6908642.0
Arkansas,5.0,2933369.0,2947036.0,2958208.0,2968472.0,2988231.0
California,6.0,37659181.0,38066920.0,38421464.0,38654206.0,39296476.0
Colorado,8.0,5119329.0,5197580.0,5278906.0,5359295.0,5530105.0
Connecticut,9.0,3583561.0,3592053.0,3593222.0,3588570.0,3587685.0
Delaware,10.0,908446.0,917060.0,926454.0,934695.0,952698.0
District of Columbia,11.0,619371.0,633736.0,647484.0,659009.0,684336.0
Florida,12.0,19091156.0,19361792.0,19645772.0,19934451.0,20656589.0
Georgia,13.0,9810417.0,9907756.0,10006693.0,10099320.0,10313620.0
Hawaii,15.0,1376298.0,1392704.0,1406299.0,1413673.0,1428683.0
Idaho,16.0,1583364.0,1599464.0,1616547.0,1635483.0,1680026.0
Illinois,17.0,12848554.0,12868747.0,12873761.0,12851684.0,12835726.0
Indiana,18.0,6514861.0,6542411.0,6568645.0,6589578.0,6634007.0
Iowa,19.0,3062553.0,3078116.0,3093526.0,3106589.0,3130869.0
Kansas,20.0,2868107.0,2882946.0,2892987.0,2898292.0,2907731.0
Kentucky,21.0,4361333.0,4383272.0,4397353.0,4411989.0,4436113.0
Louisiana,22.0,4567968.0,4601049.0,4625253.0,4645670.0,4686157.0
Maine,23.0,1328320.0,1328535.0,1329100.0,1329923.0,1330232.0
Maryland,24.0,5834299.0,5887776.0,5930538.0,5959902.0,6024752.0
Massachusetts,25.0,6605058.0,6657291.0,6705586.0,6742143.0,6823721.0
Michigan,26.0,9886095.0,9889024.0,9900571.0,9909600.0,9933445.0
Minnesota,27.0,5347740.0,5383661.0,5419171.0,5450868.0,5525050.0
Mississippi,28.0,2976872.0,2984345.0,2988081.0,2989192.0,2985415.0
Missouri,29.0,6007182.0,6028076.0,6045448.0,6059651.0,6091176.0
Montana,30.0,998554.0,1006370.0,1014699.0,1023391.0,1038656.0
Nebraska,31.0,1841625.0,1855617.0,1869365.0,1881259.0,1907603.0
Nevada,32.0,2730066.0,2761584.0,2798636.0,2839172.0,2939254.0
New Hampshire,33.0,1319171.0,1321069.0,1324201.0,1327503.0,1335015.0
New Jersey,34.0,8832406.0,8874374.0,8904413.0,8915456.0,8978416.0
New Mexico,35.0,2069706.0,2080085.0,2084117.0,2082669.0,2085432.0
New York,36.0,19487053.0,19594330.0,19673174.0,19697457.0,19836286.0
North Carolina,37.0,9651380.0,9750405.0,9845333.0,9940828.0,10156689.0
North Dakota,38.0,689781.0,704925.0,721640.0,736162.0,755548.0
Ohio,39.0,11549590.0,11560380.0,11575977.0,11586941.0,11622554.0
Oklahoma,40.0,3785742.0,3818851.0,3849733.0,3875589.0,3921207.0
Oregon,41.0,3868721.0,3900343.0,3939233.0,3982267.0,4085989.0
Pennsylvania,42.0,12731381.0,12758729.0,12779559.0,12783977.0,12787085.0
Rhode Island,44.0,1051695.0,1053252.0,1053661.0,1054491.0,1057566.0
South Carolina,45.0,4679602.0,4727273.0,4777576.0,4834605.0,4959822.0
South Dakota,46.0,825198.0,834708.0,843190.0,851058.0,861542.0
Tennessee,47.0,6402387.0,6451365.0,6499615.0,6548009.0,6649404.0
Texas,48.0,25639373.0,26092033.0,26538614.0,26956435.0,27904862.0
Utah,49.0,2813673.0,2858111.0,2903379.0,2948427.0,3044321.0
Vermont,50.0,625904.0,626358.0,626604.0,626249.0,623354.0
Virginia,51.0,8100653.0,8185131.0,8256630.0,8310301.0,8414380.0
Washington,53.0,6819579.0,6899123.0,6985464.0,7073146.0,7280934.0
West Virginia,54.0,1853619.0,1853881.0,1851420.0,1846092.0,1828637.0
Wisconsin,55.0,5706871.0,5724692.0,5742117.0,5754798.0,5772917.0
Wyoming,56.0,570134.0,575251.0,579679.0,583029.0,584910.0
Puerto Rico,72.0,3682966.0,3638965.0,3583073.0,3529385.0,3406520.0
