State,0
AK,42.74991166816359
AL,30.058357653308423
AR,27.440984314800296
AZ,8.49660468728876
CA,11.675347173624424
CO,14.62901698973166
CT,21.741039138051416
DC,166.8770896167964
DE,40.83140722453495
FL,20.119488265947492
GA,19.33365782334428
HI,4.759628273031876
IA,18.71684826161682
ID,9.702230798809065
IL,39.647153577444705
IN,22.35451364461931
KS,19.878042363616167
KY,23.21852486625115
LA,42.40148164049988
MA,25.807034021467175
MD,26.208547671339833
ME,15.26049591349479
MI,13.691121257529488
MN,13.737432240432213
MO,28.40174048492442
MS,34.46756983534952
MT,16.078470638979606
NC,21.079704222507946
ND,17.603117207642665
NE,23.013174124804795
NH,15.430538233652806
NJ,14.946957236109352
NM,21.482359530303555
NV,14.867718135281946
NY,10.238811842095844
OH,23.23929835043141
OK,22.085036571647453
OR,12.506152121310164
PA,16.985888496088045
RI,18.060338550974596
SC,34.69882588528379
SD,23.098119418438102
TN,28.18297700064547
TX,10.302864067200906
UT,7.357962580161553
VA,17.505746115578333
VT,11.389996695296734
WA,12.100095949228491
WI,23.714181236279682
WV,21.32736021419232
WY,15.557949086184198
